canonical_entity,canonical_entity_id,source_sheet,source_row,source_record_id,related_is_text,notification_title,title_vernacular
NOTIFICATION,NOTIF-00765,,40,,IS 1165,दूध पाउडर अनिवार्य BIS प्रमाणन से विमुक्त,
NOTIFICATION,NOTIF-01054,,41,,IS 1166,"संघनित दूध, आंशिक स्किम्ड एवं स्किम्ड संघनित दूध अनिवार्य BIS प्रमाणन से विमुक्त",
NOTIFICATION,NOTIF-00931,,42,,IS 12176,मीठा अल्ट्रा हाई टेम्परेचर उपचारित संघनित दूध अनिवार्य BIS प्रमाणन से विमुक्त,
NOTIFICATION,NOTIF-00256,,43,फीडिंग बोतलें,,,
NOTIFICATION,NOTIF-00855,,44,33.,IS 14625,प्लास्टिक फीडिंग बोतलें,"4. शिशु दूध विकल्प, फीडिंग बोतलें एवं शिशु खाद्य (उत्पादन, आपूर्ति एवं वितरण का विनियमन) अधिनियम, 1992"
NOTIFICATION,NOTIF-00567,,45,34.,IS 5168,काँच की फीडिंग बोतलें,
NOTIFICATION,NOTIF-00260,,46,तेल दाब स्टोव,,,
NOTIFICATION,NOTIF-00760,,47,35.,IS 10109,"तेल दाब स्टोव, ऑफसेट बर्नर प्रकार","5. तेल दाब स्टोव (गुणवत्ता नियंत्रण) आदेश, 1997 एस.ओ. 451(E), दिनांक 16 जून 1997"
NOTIFICATION,NOTIF-00902,,48,36.,IS 2787,बहु-बर्नर तेल दाब स्टोव,
NOTIFICATION,NOTIF-00759,,49,37.,IS 1342,तेल दाब स्टोव,
NOTIFICATION,NOTIF-00268,,50,ऑटोमोबाइल सहायक उपकरण,,,
NOTIFICATION,NOTIF-00944,,51,38.,IS 13098,मोटर वाहन – न्यूमैटिक टायरों के लिए ट्यूब,"6. मोटर वाहनों के लिए न्यूमैटिक टायर एवं ट्यूब (गुणवत्ता नियंत्रण) आदेश, 2009 एस.ओ. 2953(E), दिनांक 19-11-2009 अनुवर्ती संशोधन एस.ओ. 1057(E), दिनांक 11-05-2010 एस.ओ. 2758(E), दिनांक 09-11-2010"
NOTIFICATION,NOTIF-00943,,52,39.,IS 15627,मोटर वाहन – दो एवं तीन पहिया मोटर वाहनों के लिए न्यूमैटिक टायर,
NOTIFICATION,NOTIF-00945,,53,40.,IS 15633,मोटर वाहन – यात्री कारों के लिए न्यूमैटिक टायर – डायगोनल एवं रेडियल प्लाई,
NOTIFICATION,NOTIF-00946,,54,41.,IS 15636,मोटर वाहन – वाणिज्यिक वाहनों के लिए न्यूमैटिक टायर – डायगोनल एवं रेडियल प्लाई,
NOTIFICATION,NOTIF-00278,,55,"सिलेंडर, वाल्व एवं रेगुलेटर",,,
NOTIFICATION,NOTIF-00545,,56,42.,IS 14899,ऑटोमोबाइल उपयोग हेतु द्रवीकृत पेट्रोलियम गैस (एलपीजी) कंटेनर,"7. विस्फोटक अधिनियम, 1884 गैस सिलेंडर नियम, 2016 जी.एस.आर. 1081(E), दिनांक 22-11-2016"
NOTIFICATION,NOTIF-00546,,57,43.,IS 15100,ऑटोमोबाइल उपयोग हेतु स्थायी रूप से स्थापित एलपीजी कंटेनरों के लिए बहु-कार्यात्मक वाल्व असेंबली,
NOTIFICATION,NOTIF-00015,,58,44.,IS 3196,5 लीटर से अधिक जल क्षमता वाले निम्न दाब द्रवीकरणीय गैसों हेतु वेल्डेड लो कार्बन स्टील सिलेंडर – भाग 4 : विषैली एवं संक्षारक गैसों के लिए सिलेंडर,
NOTIFICATION,NOTIF-00013,,59,45.,IS 3196,5 लीटर से अधिक जल क्षमता वाले निम्न दाब द्रवीकरणीय गैसों हेतु वेल्डेड लो कार्बन स्टील सिलेंडर – भाग 1 : एलपीजी के लिए सिलेंडर,
NOTIFICATION,NOTIF-00014,,60,46.,IS 3196,5 लीटर से अधिक जल क्षमता वाले निम्न दाब द्रवीकरणीय गैसों हेतु वेल्डेड लो कार्बन स्टील सिलेंडर – भाग 2 : एलपीजी के अतिरिक्त अन्य द्रवीकरणीय गैसों हेतु,
NOTIFICATION,NOTIF-00530,,61,47.,IS 3224,एलपीजी सिलेंडरों को छोड़कर संपीड़ित गैस सिलेंडरों हेतु वाल्व फिटिंग्स,
NOTIFICATION,NOTIF-00681,,62,48.,IS 3745,छोटे चिकित्सा गैस सिलेंडरों हेतु योक प्रकार वाल्व कनेक्शन,
NOTIFICATION,NOTIF-00011,,63,49.,IS 7142,5 लीटर से अधिक जल क्षमता न रखने वाले निम्न दाब द्रवीकरणीय गैसों हेतु वेल्डेड लो कार्बन स्टील सिलेंडर,
NOTIFICATION,NOTIF-00801,,64,50.,IS 7285,पुनः भरने योग्य सीमलेस स्टील गैस सिलेंडर – भाग 1 : नॉर्मलाइज्ड स्टील सिलेंडर,
NOTIFICATION,NOTIF-00802,,65,51.,IS 7285,पुनः भरने योग्य सीमलेस स्टील गैस सिलेंडर – भाग 2 : क्वेन्च्ड एवं टेम्पर्ड स्टील सिलेंडर (तन्य शक्ति 1100 MPa से कम),
NOTIFICATION,NOTIF-01051,,66,52.,IS 7302,श्वसन उपकरणों के उपयोग हेतु गैस सिलेंडर वाल्व फिटिंग्स,
NOTIFICATION,NOTIF-01039,,67,53.,IS 7312,वेल्डेड एवं सीमलेस स्टील घुलित एसीटिलीन गैस सिलेंडर,
NOTIFICATION,NOTIF-00012,,68,54.,IS 8737,5 लीटर से अधिक जल क्षमता वाले एलपीजी सिलेंडरों हेतु वाल्व फिटिंग्स – भाग 2 : नवीन निर्मित एलपीजी सिलेंडरों हेतु,
NOTIFICATION,NOTIF-00010,,69,55.,IS 8776,5 लीटर तक एवं सम्मिलित जल क्षमता वाले एलपीजी सिलेंडरों हेतु वाल्व फिटिंग्स,
NOTIFICATION,NOTIF-00529,,70,56.,IS 9798,एलपीजी मिश्रणों के उपयोग हेतु निम्न दाब रेगुलेटर,
NOTIFICATION,NOTIF-00305,,71,चिकित्सा उपकरण,,,
NOTIFICATION,NOTIF-00674,,72,57.,IS 3055,चिकित्सीय थर्मामीटर – भाग 1 : ठोस डंडी प्रकार,"8. चिकित्सीय थर्मामीटर (गुणवत्ता नियंत्रण) आदेश, 2001 जी.एस.आर. 843(E), दिनांक 09 नवम्बर 2001"
NOTIFICATION,NOTIF-00675,,73,58.,IS 3055,चिकित्सीय थर्मामीटर – भाग 2 : संलग्न स्केल प्रकार,
NOTIFICATION,NOTIF-00778,,74,59.,IS 7620,नैदानिक चिकित्सा एक्स-रे उपकरण,"9. नैदानिक चिकित्सा एक्स-रे उपकरण AERB/443/39 MDX/3509/94, अक्टूबर 1994"
NOTIFICATION,NOTIF-00313,,75,स्टील एवं लौह उत्पाद,,,
