qco_id,qco_name,qco_number,qco_number_normalized,qco_product_text,notification_number,notification_date,notification_date_precision,effective_date,effective_date_precision,ministry,department,mandatory_status,mandatory_status_original,qco_scope,qco_exclusions,qco_exemptions,qco_amendments,qco_extensions,qco_deferments,qco_corrigendas,qco_supersession,qco_status,qco_status_original,qco_scope_exclusions_amendments_combined,qco_schemes_text,official_document_url,source_gazette_url,source_url,source_reference_label,source_qco_ids,source_file_count,source_file_ids,source_files,source_sheets,source_rows,record_disposition,conflict_count,conflict_fields,review_flag,review_reason,populated_field_count,completeness_pct
QCO-00039,,Footwear (Quality Control) Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,F012;F013;F024;F025,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx;BIS_Schemes_Master.xlsx;BIS_Schemes_Master_Scheme_2.xlsx,BIS_Schemes_Master;BIS_Schemes_Master_Scheme_2;Products_Details,F012:Products_Details:35;F012:Products_Details:36;F012:Products_Details:39;F012:Products_Details:40;F013:Products_Details:35;F013:Products_Details:36;F013:Products_Details:39;F013:Products_Details:40;F024:BIS_Schemes_Master:34;F024:BIS_Schemes_Master:35;F024:BIS_Schemes_Master:36;F024:BIS_Schemes_Master:37;F024:BIS_Schemes_Master:38;F024:BIS_Schemes_Master:39;F024:BIS_Schemes_Master:40;F025:BIS_Schemes_Master_Scheme_2:34;F025:BIS_Schemes_Master_Scheme_2:35;F025:BIS_Schemes_Master_Scheme_2:36;F025:BIS_Schemes_Master_Scheme_2:37;F025:BIS_Schemes_Master_Scheme_2:38;F025:BIS_Schemes_Master_Scheme_2:39;F025:BIS_Schemes_Master_Scheme_2:40,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00040,,"Footwear Quality Control Orders (Sports Footwear, Tactical, Special Purpose & Safety Footwear)",,,S.O. 3857(E) (for PPE Footwear); corresponding orders for Sports and Leather Footwear,,,,NONE,Ministry of Commerce and Industry (DPIIT),,MANDATORY,,"General purpose sports shoes, professional sports footwear, anti-riot shoes, tactical boots, service shoes, and personal protective footwear.",,,,,,,,,,,,,,,Gazette of India (S.O. No. 3857(E) dated 27/10/2020),,1,F018,BIS_QCO_Master_Scheme_1.xlsx,BIS_QCO_Master_Scheme_1,F018:BIS_QCO_Master_Scheme_1:34;F018:BIS_QCO_Master_Scheme_1:35;F018:BIS_QCO_Master_Scheme_1:36;F018:BIS_QCO_Master_Scheme_1:37;F018:BIS_QCO_Master_Scheme_1:38;F018:BIS_QCO_Master_Scheme_1:39;F018:BIS_QCO_Master_Scheme_1:40;F018:BIS_QCO_Master_Scheme_1:41,MERGED,0,,,,7,23.33
QCO-00041,Furniture Quality Control Order,Furniture QCO,,,No. tified Gazette Order,,NONE,,NONE,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),MANDATORY,Mandatory,Domestic and office furniture items.,Handcrafted custom non-commercial furniture and goods for export.,,,MSME 18-month exemption,,,,ACTIVE,Active / Enforced,,,,,,BIS Compulsory Certification Scheme-I Portal | BIS Portal,QCO-03,1,F016,BIS_QCO_Master_Records.xlsx,QCO_Master_Details,F016:QCO_Master_Details:4,CANONICAL,0,,,,16,53.33
QCO-00042,,Furniture QCO 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,F009:BIS_Notifications_Master:2;F009:BIS_Notifications_Master:3;F009:BIS_Notifications_Master:4;F009:BIS_Notifications_Master:5;F009:BIS_Notifications_Master:6,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00043,,Furniture (Quality Control) Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,F011;F012;F013;F024;F025,BIS_Products_Details.xlsx;BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx;BIS_Schemes_Master.xlsx;BIS_Schemes_Master_Scheme_2.xlsx,BIS_Schemes_Master;BIS_Schemes_Master_Scheme_2;Products_Details,F011:Products_Details:2;F011:Products_Details:3;F011:Products_Details:4;F011:Products_Details:5;F011:Products_Details:6;F011:Products_Details:7;F012:Products_Details:3;F012:Products_Details:5;F012:Products_Details:6;F012:Products_Details:7;F013:Products_Details:3;F013:Products_Details:5;F013:Products_Details:6;F013:Products_Details:7;F024:BIS_Schemes_Master:2;F024:BIS_Schemes_Master:3;F024:BIS_Schemes_Master:4;F024:BIS_Schemes_Master:5;F024:BIS_Schemes_Master:6;F024:BIS_Schemes_Master:7;F025:BIS_Schemes_Master_Scheme_2:2;F025:BIS_Schemes_Master_Scheme_2:3;F025:BIS_Schemes_Master_Scheme_2:4;F025:BIS_Schemes_Master_Scheme_2:5;F025:BIS_Schemes_Master_Scheme_2:6;F025:BIS_Schemes_Master_Scheme_2:7,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00044,,Furniture (Quality Control) Order (2 Gazette Documents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,F012;F013,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx,Products_Details,F012:Products_Details:4;F013:Products_Details:4,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00045,"Furniture (Quality Control) Order, 2025",,,,,2025-02-13,DAY,,,Ministry of Commerce & Industry (DPIIT),,,,Covers domestic/office furniture; Staggered MSME enforcement dates.,excludes custom-built handcrafted non-commercial variants.,,,,,,,OTHER,Scheme I (ISI Mark) / Mandatory,,,,,,BIS Compulsory Certification Scheme-I Portal,,1,F019,BIS_QCO_Summary.xlsx,QCO_Summary,F019:QCO_Summary:2,CANONICAL,0,,,,9,30.00
QCO-00046,,"Furniture (Quality Control) Order, 2025 / 2026",,,"Furniture (Quality Control) Amendment Order, 2026",,,,NONE,Ministry of Commerce and Industry (DPIIT),,MANDATORY,,"Covers indoor and outdoor furniture categories including work chairs, general seating, desks, tables, storage units, and beds.",,,,,,,,,,,,,,,Official Gazette of India (No URLs provided in source tab for this QCO).,,1,F018,BIS_QCO_Master_Scheme_1.xlsx,BIS_QCO_Master_Scheme_1,F018:BIS_QCO_Master_Scheme_1:2;F018:BIS_QCO_Master_Scheme_1:3;F018:BIS_QCO_Master_Scheme_1:4;F018:BIS_QCO_Master_Scheme_1:5;F018:BIS_QCO_Master_Scheme_1:6;F018:BIS_QCO_Master_Scheme_1:7,MERGED,0,,,,7,23.33
QCO-00047,,LPG Hose QCO 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,F009:BIS_Notifications_Master:18,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00048,,LPG Hoses (Quality Control) Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,F012;F013,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx,Products_Details,F012:Products_Details:28;F013:Products_Details:28,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00049,,Lubricating Greases (QCO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,F011,BIS_Products_Details.xlsx,Products_Details,F011:Products_Details:32,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00050,,"Machinery and Electrical Equipment Safety (Omnibus Technical Regulation) Orders (including subsequent amendments and clarifications up to S.O. 239(E) dated January 16, 2026)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,F022;F023,BIS_Scheme_X_Industrial.xlsx;BIS_Scheme_X_Industrial_v2.xlsx,BIS_Scheme_X,F022:BIS_Scheme_X:6;F023:BIS_Scheme_X:6,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00051,"Flashlights (Quality Control) Order, 2024–2025",Ministry No. tification (2024/2025),,,Ministry No. tification,,NONE,,,Ministry of Electronics & IT/DPIIT,DPIIT,MANDATORY,Mandatory,Handheld battery and rechargeable LED torches,Excludes fixed emergency lighting systems,,,,,,,ACTIVE,Active,,,,,,BIS Compulsory Certification Scheme-I Portal | BIS Portal,11,1,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,F015:QCO_Master_Records:12,CANONICAL,0,,,,14,46.67
QCO-00052,"Furniture (Quality Control) Order, 2025",No. t stated,,,S.O. 801(E),2025-02-13,DAY,2026-02-14,DAY,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),MANDATORY,Mandatory,Work chairs,Goods/articles manufactured domestically for export; exemptions/transition provisions specified in QCO,,,"Transition Facilitation (Quality Control) Order, 2026, S.O. 3417(E), 25-Jun-2026",Transition provisions for covered enterprises,Not separately stated,Latest BIS Scheme-I listing currently shows IS 9873 Part 1:2018; user's 2012 edition should be retained as historical/input value,ACTIVE,Active QCO / current standard version differs from supplied year,,,,,,Furniture QCO 2025 | BIS Scheme-I page | Pressure Cooker QCO | Cement QCO source | BIS Cement mandatory standards | Toys QCO source | Flat Transparent Sheet Glass QCO 2021 | Safety Glass QCO 2020 | Stainless Steel Pipes and Tubes QCO 2025 | Electrical Appliances QCO 2024 | Footwear QCO 2024 | PPE Footwear QCO 2020,QCO-FURNITURE-2025 | QCO-PRESSURE-COOKER-2020 | QCO-CEMENT-2003 | QCO-TOYS-2020 | QCO-FLAT-GLASS-2021 | QCO-SAFETY-GLASS-2020 | QCO-LPG-HOSE-2020 | QCO-AL-FOIL-2020 | QCO-SS-PIPES-2025 | QCO-FLASHLIGHT-2025 | QCO-ELECTRICAL-APPLIANCES-2024 | QCO-FOOTWEAR-LEATHER-2024 | QCO-PPE-FOOTWEAR-2020,1,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,F014:BIS_QCO-schema_2:2;F014:BIS_QCO-schema_2:3;F014:BIS_QCO-schema_2:4;F014:BIS_QCO-schema_2:5;F014:BIS_QCO-schema_2:6;F014:BIS_QCO-schema_2:7;F014:BIS_QCO-schema_2:8;F014:BIS_QCO-schema_2:9;F014:BIS_QCO-schema_2:10;F014:BIS_QCO-schema_2:11;F014:BIS_QCO-schema_2:12;F014:BIS_QCO-schema_2:13;F014:BIS_QCO-schema_2:14;F014:BIS_QCO-schema_2:15;F014:BIS_QCO-schema_2:16;F014:BIS_QCO-schema_2:17;F014:BIS_QCO-schema_2:18;F014:BIS_QCO-schema_2:19;F014:BIS_QCO-schema_2:20;F014:BIS_QCO-schema_2:21;F014:BIS_QCO-schema_2:22;F014:BIS_QCO-schema_2:23;F014:BIS_QCO-schema_2:24;F014:BIS_QCO-schema_2:25;F014:BIS_QCO-schema_2:26;F014:BIS_QCO-schema_2:27;F014:BIS_QCO-schema_2:28;F014:BIS_QCO-schema_2:29;F014:BIS_QCO-schema_2:30;F014:BIS_QCO-schema_2:31;F014:BIS_QCO-schema_2:32;F014:BIS_QCO-schema_2:33;F014:BIS_QCO-schema_2:34;F014:BIS_QCO-schema_2:35;F014:BIS_QCO-schema_2:36;F014:BIS_QCO-schema_2:37;F014:BIS_QCO-schema_2:38;F014:BIS_QCO-schema_2:39;F014:BIS_QCO-schema_2:40;F014:BIS_QCO-schema_2:41,REQUIRES_REVIEW,10,effective_date;effective_date_precision;notification_date;notification_number;qco_deferments;qco_exclusions;qco_extensions;qco_name;qco_scope;qco_supersession,YES,CONFLICT_FREE_TEXT_DIVERGENCE CONFLICT_FREE_TEXT_DIVERGENCE CONFLICT_ASSERTED_ABSENCE_VS_VALUE,21,70.00
QCO-00053,"Furniture (Quality Control) Order, 2025",No. tified 13 Feb 2025,,,No. tified 13 Feb 2025,2025-02-13,DAY,,NONE,Ministry of Commerce & Industry,DPIIT,MANDATORY,Mandatory,Covers domestic/office furniture,Excludes custom-built handcrafted non-commercial variants,,,Staggered MSME dates,,,,NOTIFIED,Active / Notified,,,,,,BIS Compulsory Certification Scheme-I Portal | BIS Portal,1,1,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,F015:QCO_Master_Records:2,CANONICAL,0,,,,17,56.67
QCO-00054,Stainless Steel Pipes and Tubes (Quality Control) Order,No. tified Draft / Final Order (2024),,,No. tified Draft / Final Order (2024),2024,YEAR,,,Ministry of Steel/DPIIT,DPIIT,MANDATORY,Mandatory,"Seamless and welded stainless tubes for general, fluid, and pressure services",Excludes specialized aerospace tubing,,,,,,,DRAFT,Active / Draft,,,,,,BIS Compulsory Certification Scheme-I Portal | BIS Portal,10,1,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,F015:QCO_Master_Records:11,CANONICAL,0,,,,15,50.00
QCO-00055,,Personal Protective Equipment (Footwear) QCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,F011,BIS_Products_Details.xlsx,Products_Details,F011:Products_Details:41,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00056,,Personal Protective Equipment - Footwear (Quality Control) Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,F012;F013,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx,Products_Details,F012:Products_Details:41;F013:Products_Details:41,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00057,"Personal Protective Equipment – Footwear (QCO), 2020",,,,S.O. 3857(E),2020-10-27,DAY,,,Ministry of Commerce & Industry (DPIIT),,,,Industrial safety shoes with toe protection (impact/compression resistance).,,,,,,,,OTHER,Scheme I / Mandatory,,,,,,BIS Compulsory Certification Scheme-I Portal,,1,F019,BIS_QCO_Summary.xlsx,QCO_Summary,F019:QCO_Summary:36,CANONICAL,0,,,,9,30.00
QCO-00058,,PPE Footwear QCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,F009:BIS_Notifications_Master:30;F009:BIS_Notifications_Master:31;F009:BIS_Notifications_Master:32,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00059,,PPE Footwear Quality Control Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,F024;F025,BIS_Schemes_Master.xlsx;BIS_Schemes_Master_Scheme_2.xlsx,BIS_Schemes_Master;BIS_Schemes_Master_Scheme_2,F024:BIS_Schemes_Master:41;F025:BIS_Schemes_Master_Scheme_2:41,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00060,,"Rubber Hose for Liquefied Petroleum Gas (LPG) (Quality Control) Order, 2020",,,S.O. 478(E),,,2020-01-28,DAY,Ministry of Petroleum and Natural Gas/DPIIT,,MANDATORY,,"Rubber hoses designed for industrial, domestic, and commercial LPG applications.",,,,,,,,,,,,,,,Gazette of India (S.O. 478(E) dated 28th January 2020),,1,F018,BIS_QCO_Master_Scheme_1.xlsx,BIS_QCO_Master_Scheme_1,F018:BIS_QCO_Master_Scheme_1:27;F018:BIS_QCO_Master_Scheme_1:28,MERGED,0,,,,8,26.67
QCO-00061,,Rubber Hose for LPG QCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,F024;F025,BIS_Schemes_Master.xlsx;BIS_Schemes_Master_Scheme_2.xlsx,BIS_Schemes_Master;BIS_Schemes_Master_Scheme_2,F024:BIS_Schemes_Master:27;F024:BIS_Schemes_Master:28;F025:BIS_Schemes_Master_Scheme_2:27;F025:BIS_Schemes_Master_Scheme_2:28,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00062,"Rubber Hose for LPG (Quality Control) Order, 2020",,,,S.O. 478(E),2020-01-28,DAY,,,Ministry of Petroleum & Natural Gas/DPIIT,,,,Hoses used in domestic LPG cylinder connections and industrial fuel-gas transmission systems.,,,,,,,,OTHER,Scheme I / Mandatory,,,,,,BIS Compulsory Certification Scheme-I Portal,,1,F019,BIS_QCO_Summary.xlsx,QCO_Summary,F019:QCO_Summary:22;F019:QCO_Summary:23,MERGED,0,,,,9,30.00
QCO-00063,,Rubber Hoses (Quality Control) Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,F011,BIS_Products_Details.xlsx,Products_Details,F011:Products_Details:27;F011:Products_Details:28,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00064,"Safety Glass (Quality Control) Order, 2020",S.O. 1045(E),,,S.O. 1045(E),2020-03-12,DAY,,,Ministry of Commerce & Industry,DPIIT,MANDATORY,Mandatory,Laminated/toughened glass for buildings and automotive windscreens,,,,,,,,ACTIVE,Active,,,,,,BIS Compulsory Certification Scheme-I Portal | BIS Portal,7,1,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,F015:QCO_Master_Records:8,CANONICAL,0,,,,14,46.67
QCO-00065,"Footwear Made from Leather & Other Materials (QCO), 2024",S.O. 1421(E),,,S.O. 1421(E),2024-03-15,DAY,,,Ministry of Commerce & Industry,DPIIT,MANDATORY,Mandatory,"All casual, training, and athletic sports shoes",,,,,,,,ACTIVE,Active,,,,,,BIS Compulsory Certification Scheme-I Portal | BIS Portal,13 | 14,1,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,F015:QCO_Master_Records:14;F015:QCO_Master_Records:15,CONFLICT_PRESERVED,1,qco_scope,,,14,46.67
QCO-00066,Electrical Appliances (Quality Control) Orders,S.O. 189(E) / Amendments,,,S.O. 189(E),,NONE,,,Ministry of Heavy Industries/DPIIT,DPIIT,MANDATORY,Mandatory,General electrical and insulation safety requirements across domestic appliances,,,,,,,,ACTIVE,Active,,,,,,BIS Compulsory Certification Scheme-I Portal | BIS Portal,12,1,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,F015:QCO_Master_Records:13,CANONICAL,0,,,,13,43.33
QCO-00067,"Cement (Quality Control) Order, 2003",S.O. 191(E),,,S.O. 191(E),2003-02-17,DAY,,NONE,Ministry of Commerce & Industry,DPIIT,MANDATORY,Mandatory,"Covers all varieties of cement manufactured, imported, or sold in India",No general retail exclusions,,,Standard implementation,,Issued for standard years,Replaces older editions,ACTIVE,Active,,,,,,BIS Compulsory Certification Scheme-I Portal | BIS Portal | S.O. No. 191(E) | Bureau of Indian Standards,3 | QCO-CEM-03,2,F015;F017,BIS_QCO_Master_Records (1).xlsx;BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,F015:QCO_Master_Records:4;F017:QCO_Master_Records:4;F017:QCO_Master_Records:5;F017:QCO_Master_Records:6;F017:QCO_Master_Records:7;F017:QCO_Master_Records:8;F017:QCO_Master_Records:9;F017:QCO_Master_Records:10;F017:QCO_Master_Records:11;F017:QCO_Master_Records:12;F017:QCO_Master_Records:13,CONFLICT_PRESERVED,3,ministry;qco_exclusions;qco_scope,,,19,63.33
QCO-00068,"Domestic Pressure Cooker (Quality Control) Order, 2020",S.O. 294(E),,,S.O. 294(E),2020-01-21,DAY,2020-08-01,DAY,Ministry of Commerce & Industry,Department for Promotion of Industry and Internal Trade (DPIIT),MANDATORY,Mandatory,Household cookers (1L to 22L capacity),Excludes large industrial autoclaves,,,Notified standard transition timelines,,,,ACTIVE,Active / Enforced,,,,,,BIS Compulsory Certification Scheme-I Portal | BIS Portal,2 | QCO-01,2,F015;F016,BIS_QCO_Master_Records (1).xlsx;BIS_QCO_Master_Records.xlsx,QCO_Master_Details;QCO_Master_Records,F015:QCO_Master_Records:3;F016:QCO_Master_Details:2,CONFLICT_PRESERVED,3,ministry;qco_exclusions;qco_scope,,,18,60.00
QCO-00069,"Personal Protective Equipment – Footwear (QCO), 2020",S.O. 3857(E),,,S.O. 3857(E),2020-10-27,DAY,,,Ministry of Commerce & Industry,DPIIT,MANDATORY,Mandatory,Industrial safety shoes with toe protection (impact/compression resistance),,,,,,,,ACTIVE,Active,,,,,,BIS Compulsory Certification Scheme-I Portal | BIS Portal,15,1,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,F015:QCO_Master_Records:16,CANONICAL,0,,,,14,46.67
QCO-00070,"Flat Transparent Sheet Glass (Quality Control) Order, 2021",S.O. 4144(E),,,S.O. 4144(E),2021-10-07,DAY,,,Ministry of Commerce & Industry,DPIIT,MANDATORY,Mandatory,Architectural and industrial sheet glass,,,,,,,Superseded earlier 2020 orders (S.O. 738(E)),ACTIVE,Active,,,,,,BIS Compulsory Certification Scheme-I Portal | BIS Portal,6,1,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,F015:QCO_Master_Records:7,CANONICAL,0,,,,15,50.00
QCO-00071,"Rubber Hose for LPG (Quality Control) Order, 2020",S.O. 478(E),,,S.O. 478(E),2020-01-28,DAY,,,Ministry of Petroleum & Natural Gas/DPIIT,DPIIT,MANDATORY,Mandatory,Hoses used in domestic LPG cylinder connections and industrial fuel-gas transmission systems,,,,,,,,ACTIVE,Active,,,,,,BIS Compulsory Certification Scheme-I Portal | BIS Portal,8,1,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,F015:QCO_Master_Records:9,CANONICAL,0,,,,14,46.67
QCO-00072,Steel and Steel Products (Quality Control) Order,S.O. 5134(E),,,S.O. 5134(E),2025-11-20,DAY,,NONE,Ministry of Steel,Ministry of Steel,MANDATORY,Mandatory,Stainless steel pipes and tubes for fluid transmission and engineering,Re-export purposes under self-declaration,,,Incremental extensions,,Periodic,Supersedes legacy steel orders,ACTIVE,Active,,,,,,BIS | Bureau of Indian Standards,QCO-STEEL-02,1,F017,BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,F017:QCO_Master_Records:3,CANONICAL,0,,,,19,63.33
QCO-00073,Furniture (Quality Control) Order,S.O. 5243(E),,,S.O. 5243(E),,NONE,2026-02-14,DAY,Ministry of Commerce and Industry,DPIIT,MANDATORY,Mandatory,"Fully assembled, fabricated, and ready-to-assemble domestic/office furniture",R&D purpose imports up to 200 items/year,,,"MSEs extended to August 14, 2026",,,Expanded via amendments,ACTIVE,Active,,,,,,BIS | Bureau of Indian Standards,QCO-FURN-01,1,F017,BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,F017:QCO_Master_Records:2,CANONICAL,0,,,,18,60.00
