qco_id,qco_name,qco_number,qco_number_normalized,qco_product_text,notification_number,notification_date,notification_date_precision,effective_date,effective_date_precision,ministry,department,mandatory_status,mandatory_status_original,qco_scope,qco_exclusions,qco_exemptions,qco_amendments,qco_extensions,qco_deferments,qco_corrigendas,qco_supersession,qco_status,qco_status_original,qco_scope_exclusions_amendments_combined,qco_schemes_text,official_document_url,source_gazette_url,source_url,source_reference_label,source_qco_ids,source_file_count,source_file_ids,source_files,source_sheets,source_rows,record_disposition,conflict_count,conflict_fields,review_flag,review_reason,populated_field_count,completeness_pct
QCO-00074,"Aluminium Foil (Quality Control) Order, 2020",S.O. 687(E),,,S.O. 687(E),2020-02-13,DAY,,,Ministry of Commerce & Industry,DPIIT,MANDATORY,Mandatory,Bare foil intended for direct contact food packaging,Excludes laminated composite barrier foils,,,,,,,ACTIVE,Active,,,,,,BIS Compulsory Certification Scheme-I Portal | BIS Portal,9,1,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,F015:QCO_Master_Records:10,CANONICAL,0,,,,15,50.00
QCO-00075,"Toys (Quality Control) Order, 2020",S.O. 853(E),,,S.O. 853(E),2020-02-25,DAY,2020-09-01,DAY,Ministry of Commerce & Industry,Department for Promotion of Industry and Internal Trade (DPIIT),MANDATORY,Mandatory,Toys for children under 14 years,Excludes goods manufactured exclusively for export,,,Extended via subsequent notification orders,,,,ACTIVE,Active / Enforced,,,,,,BIS Compulsory Certification Scheme-I Portal | BIS Portal,4 | 5 | QCO-02,2,F015;F016,BIS_QCO_Master_Records (1).xlsx;BIS_QCO_Master_Records.xlsx,QCO_Master_Details;QCO_Master_Records,F015:QCO_Master_Records:5;F015:QCO_Master_Records:6;F016:QCO_Master_Details:3,CONFLICT_PRESERVED,3,ministry;qco_exclusions;qco_scope,,,18,60.00
QCO-00076,,Safety Glass QCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,F009:BIS_Notifications_Master:16;F009:BIS_Notifications_Master:17,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00077,,Safety Glass QCO 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,F009:BIS_Notifications_Master:15,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00078,,Safety Glass (Quality Control) Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,F011;F012;F013;F024;F025,BIS_Products_Details.xlsx;BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx;BIS_Schemes_Master.xlsx;BIS_Schemes_Master_Scheme_2.xlsx,BIS_Schemes_Master;BIS_Schemes_Master_Scheme_2;Products_Details,F011:Products_Details:25;F011:Products_Details:26;F012:Products_Details:25;F013:Products_Details:25;F024:BIS_Schemes_Master:25;F024:BIS_Schemes_Master:26;F025:BIS_Schemes_Master_Scheme_2:25;F025:BIS_Schemes_Master_Scheme_2:26,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00079,"Safety Glass (Quality Control) Order, 2020","Safety Glass (Quality Control) Order, 2020",,,S.O. 1045(E),2020-03-12,DAY,2020-03-12,DAY,Ministry of Commerce and Industry (DPIIT),,MANDATORY,,"Toughened and laminated safety glass for architectural, building, general, and road transport vehicles.",,,,,,,,OTHER,Scheme I / Mandatory,,,,,,Gazette of India (S.O. 1045(E) dated 12th March 2020) | BIS Compulsory Certification Scheme-I Portal,,2,F018;F019,BIS_QCO_Master_Scheme_1.xlsx;BIS_QCO_Summary.xlsx,BIS_QCO_Master_Scheme_1;QCO_Summary,F018:BIS_QCO_Master_Scheme_1:25;F018:BIS_QCO_Master_Scheme_1:26;F019:QCO_Summary:20;F019:QCO_Summary:21,CONFLICT_PRESERVED,2,ministry;qco_scope,,,13,43.33
QCO-00080,,Safety Glass (Quality Control) Order / CMVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,F012;F013,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx,Products_Details,F012:Products_Details:26;F013:Products_Details:26,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00081,,"Safety of Household, Commercial and Similar Electrical Appliances (Quality Control) Order, 2026",,,S.O. 1739(E) (supersedes QCO 2025),,,,NONE,Ministry of Commerce and Industry (DPIIT),,MANDATORY,,"General safety requirements for electrical appliances up to 250V (single-phase) and 480V (other types, including battery-operated).",,,,,,,,,,,,,,,Gazette of India (No URL provided in source tab).,,1,F018,BIS_QCO_Master_Scheme_1.xlsx,BIS_QCO_Master_Scheme_1,F018:BIS_QCO_Master_Scheme_1:33,CANONICAL,0,,,,7,23.33
QCO-00082,,Stainless Steel Pipes & Tubes (QCO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,F011,BIS_Products_Details.xlsx,Products_Details,F011:Products_Details:30;F011:Products_Details:31,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00083,,Stainless Steel Pipes and Tubes QCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,F024;F025,BIS_Schemes_Master.xlsx;BIS_Schemes_Master_Scheme_2.xlsx,BIS_Schemes_Master;BIS_Schemes_Master_Scheme_2,F024:BIS_Schemes_Master:30;F024:BIS_Schemes_Master:31;F025:BIS_Schemes_Master_Scheme_2:30;F025:BIS_Schemes_Master_Scheme_2:31,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00084,,Stainless Steel Pipes and Tubes QCO 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,F009:BIS_Notifications_Master:20,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00085,Stainless Steel Pipes and Tubes (Quality Control) Order,Stainless Steel Pipes and Tubes (Quality Control) Order,,,,2024,YEAR,,,Ministry of Steel/DPIIT,,,,"Seamless and welded stainless tubes for general, fluid, and pressure services.",Excludes specialized aerospace tubing.,,,,,,,OTHER,Scheme I / Mandatory,,,,,,BIS Compulsory Certification Scheme-I Portal,,3,F012;F013;F019,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx;BIS_QCO_Summary.xlsx,Products_Details;QCO_Summary,F019:QCO_Summary:25;F019:QCO_Summary:26;F012:Products_Details:30;F012:Products_Details:31;F013:Products_Details:30;F013:Products_Details:31,MERGED,0,,,,10,33.33
QCO-00086,,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,F021:BIS_FMCS_Scheme_IV:2;F021:BIS_FMCS_Scheme_IV:3;F021:BIS_FMCS_Scheme_IV:4;F021:BIS_FMCS_Scheme_IV:5;F021:BIS_FMCS_Scheme_IV:6;F021:BIS_FMCS_Scheme_IV:7;F021:BIS_FMCS_Scheme_IV:8;F021:BIS_FMCS_Scheme_IV:9;F021:BIS_FMCS_Scheme_IV:10;F021:BIS_FMCS_Scheme_IV:11;F021:BIS_FMCS_Scheme_IV:12;F021:BIS_FMCS_Scheme_IV:13;F021:BIS_FMCS_Scheme_IV:14;F021:BIS_FMCS_Scheme_IV:15;F021:BIS_FMCS_Scheme_IV:16;F021:BIS_FMCS_Scheme_IV:17;F021:BIS_FMCS_Scheme_IV:18;F021:BIS_FMCS_Scheme_IV:19;F021:BIS_FMCS_Scheme_IV:20;F021:BIS_FMCS_Scheme_IV:21;F021:BIS_FMCS_Scheme_IV:22;F021:BIS_FMCS_Scheme_IV:23;F021:BIS_FMCS_Scheme_IV:24;F021:BIS_FMCS_Scheme_IV:25;F021:BIS_FMCS_Scheme_IV:26;F021:BIS_FMCS_Scheme_IV:27;F021:BIS_FMCS_Scheme_IV:28;F021:BIS_FMCS_Scheme_IV:29;F021:BIS_FMCS_Scheme_IV:30;F021:BIS_FMCS_Scheme_IV:31;F021:BIS_FMCS_Scheme_IV:32;F021:BIS_FMCS_Scheme_IV:33;F021:BIS_FMCS_Scheme_IV:34;F021:BIS_FMCS_Scheme_IV:35;F021:BIS_FMCS_Scheme_IV:36;F021:BIS_FMCS_Scheme_IV:37;F021:BIS_FMCS_Scheme_IV:38;F021:BIS_FMCS_Scheme_IV:39;F021:BIS_FMCS_Scheme_IV:40;F021:BIS_FMCS_Scheme_IV:41,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00087,,Steel and Steel Products (Quality Control) Order (Stainless Steel Pipes & Tubes),,,,,,2025-08-01,DAY,Ministry of Steel/DPIIT,,MANDATORY,,Seamless and welded stainless steel pipes and tubes for engineering and industrial applications.,,,,,,,,,,,,,,,Official Gazette of India (No URL provided in source tab).,,1,F018,BIS_QCO_Master_Scheme_1.xlsx,BIS_QCO_Master_Scheme_1,F018:BIS_QCO_Master_Scheme_1:30;F018:BIS_QCO_Master_Scheme_1:31,MERGED,0,,,,7,23.33
QCO-00088,,Toys QCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,F009:BIS_Notifications_Master:12,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00089,,Toys QCO 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,F009:BIS_Notifications_Master:10;F009:BIS_Notifications_Master:11,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00090,,Toys (Quality Control) Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,F011;F012;F013;F024;F025,BIS_Products_Details.xlsx;BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx;BIS_Schemes_Master.xlsx;BIS_Schemes_Master_Scheme_2.xlsx,BIS_Schemes_Master;BIS_Schemes_Master_Scheme_2;Products_Details,F011:Products_Details:19;F011:Products_Details:20;F011:Products_Details:21;F011:Products_Details:22;F011:Products_Details:23;F012:Products_Details:19;F012:Products_Details:20;F012:Products_Details:21;F012:Products_Details:22;F012:Products_Details:23;F013:Products_Details:19;F013:Products_Details:20;F013:Products_Details:21;F013:Products_Details:22;F013:Products_Details:23;F024:BIS_Schemes_Master:19;F024:BIS_Schemes_Master:20;F024:BIS_Schemes_Master:21;F024:BIS_Schemes_Master:22;F024:BIS_Schemes_Master:23;F025:BIS_Schemes_Master_Scheme_2:19;F025:BIS_Schemes_Master_Scheme_2:20;F025:BIS_Schemes_Master_Scheme_2:21;F025:BIS_Schemes_Master_Scheme_2:22;F025:BIS_Schemes_Master_Scheme_2:23,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00091,"Toys (Quality Control) Order, 2020","Toys (Quality Control) Order, 2020",,,S.O. 853(E),2020-02-25,DAY,2020-02-25,DAY,Ministry of Commerce and Industry (DPIIT),,MANDATORY,,"Safety requirements for non-electric and electric toys, covering mechanical, physical, flammability, and chemical migration properties.",Excludes goods manufactured exclusively for export.,,,,,,,OTHER,Scheme I / Mandatory,,,,,,Gazette of India (S.O. 853(E) dated 25th February 2000) | BIS Compulsory Certification Scheme-I Portal,,2,F018;F019,BIS_QCO_Master_Scheme_1.xlsx;BIS_QCO_Summary.xlsx,BIS_QCO_Master_Scheme_1;QCO_Summary,F018:BIS_QCO_Master_Scheme_1:19;F018:BIS_QCO_Master_Scheme_1:20;F018:BIS_QCO_Master_Scheme_1:21;F018:BIS_QCO_Master_Scheme_1:22;F018:BIS_QCO_Master_Scheme_1:23;F019:QCO_Summary:14;F019:QCO_Summary:15;F019:QCO_Summary:16;F019:QCO_Summary:17;F019:QCO_Summary:18,CONFLICT_PRESERVED,3,ministry;qco_exclusions;qco_scope,,,14,46.67
