is_id,canonical_is_number,manufacturer_count,licence_count,source_file_id,source_file,source_sheet,source_row,record_disposition
STD-00308,STD-1364-P1,4,4,F043,output__fmcs_is_coverage.csv,,71,CANONICAL
STD-00309,STD-1364-P2,4,4,F043,output__fmcs_is_coverage.csv,,72,CANONICAL
STD-00309,STD-1364-P2,2,2,F043,output__fmcs_is_coverage.csv,,73,CANONICAL
STD-00322,STD-13774,1,1,F043,output__fmcs_is_coverage.csv,,74,CANONICAL
STD-00330,STD-13893,1,1,F043,output__fmcs_is_coverage.csv,,75,CANONICAL
STD-00333,STD-1391-P2,7,8,F043,output__fmcs_is_coverage.csv,,76,CANONICAL
STD-00332,STD-1391,2,2,F043,output__fmcs_is_coverage.csv,,77,CANONICAL
STD-00339,STD-13983,2,2,F043,output__fmcs_is_coverage.csv,,78,CANONICAL
STD-00360,STD-14246,9,9,F043,output__fmcs_is_coverage.csv,,79,CANONICAL
STD-00360,STD-14246,18,18,F043,output__fmcs_is_coverage.csv,,80,CANONICAL
STD-00362,STD-14255,1,1,F043,output__fmcs_is_coverage.csv,,81,CANONICAL
STD-00363,STD-14261,2,2,F043,output__fmcs_is_coverage.csv,,82,CANONICAL
STD-00364,STD-14268,3,3,F043,output__fmcs_is_coverage.csv,,83,CANONICAL
STD-00376,STD-14399,1,1,F043,output__fmcs_is_coverage.csv,,84,CANONICAL
STD-00378,STD-14407,8,8,F043,output__fmcs_is_coverage.csv,,85,CANONICAL
STD-00381,STD-14433,2,2,F043,output__fmcs_is_coverage.csv,,86,CANONICAL
STD-00382,STD-14434,19,20,F043,output__fmcs_is_coverage.csv,,87,CANONICAL
STD-00386,STD-14490,1,1,F043,output__fmcs_is_coverage.csv,,88,CANONICAL
STD-00386,STD-14490,5,5,F043,output__fmcs_is_coverage.csv,,89,CANONICAL
STD-00394,STD-14543,1,1,F043,output__fmcs_is_coverage.csv,,90,CANONICAL
STD-00407,STD-14625,12,12,F043,output__fmcs_is_coverage.csv,,91,CANONICAL
STD-00408,STD-14650,34,37,F043,output__fmcs_is_coverage.csv,,92,CANONICAL
STD-00410,STD-1466,3,3,F043,output__fmcs_is_coverage.csv,,93,CANONICAL
STD-00414,STD-1470,1,1,F043,output__fmcs_is_coverage.csv,,94,CANONICAL
STD-00416,STD-14707,4,4,F043,output__fmcs_is_coverage.csv,,95,CANONICAL
STD-00417,STD-14708,4,4,F043,output__fmcs_is_coverage.csv,,96,CANONICAL
STD-00417,STD-14708,1,1,F043,output__fmcs_is_coverage.csv,,97,CANONICAL
STD-00418,STD-14709,7,7,F043,output__fmcs_is_coverage.csv,,98,CANONICAL
STD-00418,STD-14709,2,2,F043,output__fmcs_is_coverage.csv,,99,CANONICAL
STD-00414,STD-1470,1,1,F043,output__fmcs_is_coverage.csv,,100,CANONICAL
STD-00421,STD-14735,1,1,F043,output__fmcs_is_coverage.csv,,101,CANONICAL
STD-00426,STD-14756,1,1,F043,output__fmcs_is_coverage.csv,,102,CANONICAL
STD-00426,STD-14756,14,14,F043,output__fmcs_is_coverage.csv,,103,CANONICAL
STD-00429,STD-14772,1,1,F043,output__fmcs_is_coverage.csv,,104,CANONICAL
STD-00438,STD-14862,3,3,F043,output__fmcs_is_coverage.csv,,105,CANONICAL
STD-00443,STD-1489,26,26,F043,output__fmcs_is_coverage.csv,,106,CANONICAL
STD-00448,STD-14900,14,14,F043,output__fmcs_is_coverage.csv,,107,CANONICAL
STD-00449,STD-14912,5,5,F043,output__fmcs_is_coverage.csv,,108,CANONICAL
STD-00460,STD-15030,2,2,F043,output__fmcs_is_coverage.csv,,109,CANONICAL
STD-00460,STD-15030,11,12,F043,output__fmcs_is_coverage.csv,,110,CANONICAL
STD-00489,STD-15354-P1,1,1,F043,output__fmcs_is_coverage.csv,,111,CANONICAL
STD-00496,STD-15391,1,1,F043,output__fmcs_is_coverage.csv,,112,CANONICAL
STD-00497,STD-15392,3,3,F043,output__fmcs_is_coverage.csv,,113,CANONICAL
STD-00503,STD-1545,2,2,F043,output__fmcs_is_coverage.csv,,114,CANONICAL
STD-00514,STD-1554,4,4,F043,output__fmcs_is_coverage.csv,,115,CANONICAL
STD-00526,STD-15623,2,2,F043,output__fmcs_is_coverage.csv,,116,CANONICAL
STD-00527,STD-15627,7,7,F043,output__fmcs_is_coverage.csv,,117,CANONICAL
STD-00527,STD-15627,5,5,F043,output__fmcs_is_coverage.csv,,118,CANONICAL
STD-00528,STD-15633,45,48,F043,output__fmcs_is_coverage.csv,,119,CANONICAL
STD-00528,STD-15633,29,32,F043,output__fmcs_is_coverage.csv,,120,CANONICAL
STD-00529,STD-15636,11,11,F043,output__fmcs_is_coverage.csv,,121,CANONICAL
STD-00529,STD-15636,13,13,F043,output__fmcs_is_coverage.csv,,122,CANONICAL
STD-00530,STD-15644,15,15,F043,output__fmcs_is_coverage.csv,,123,CANONICAL
STD-00533,STD-15658,1,1,F043,output__fmcs_is_coverage.csv,,124,CANONICAL
STD-00544,STD-15768,1,1,F043,output__fmcs_is_coverage.csv,,125,CANONICAL
STD-00545,STD-15769,8,8,F043,output__fmcs_is_coverage.csv,,126,CANONICAL
STD-00546,STD-15778,2,2,F043,output__fmcs_is_coverage.csv,,127,CANONICAL
STD-00548,STD-15787,1,1,F043,output__fmcs_is_coverage.csv,,128,CANONICAL
STD-00558,STD-15844-P1,190,194,F043,output__fmcs_is_coverage.csv,,129,CANONICAL
STD-00559,STD-15844-P2,59,59,F043,output__fmcs_is_coverage.csv,,130,CANONICAL
STD-00560,STD-15844-P3,27,27,F043,output__fmcs_is_coverage.csv,,131,CANONICAL
STD-00557,STD-15844,2,2,F043,output__fmcs_is_coverage.csv,,132,CANONICAL
STD-00569,STD-15895,2,2,F043,output__fmcs_is_coverage.csv,,133,CANONICAL
STD-00581,STD-15961,15,15,F043,output__fmcs_is_coverage.csv,,134,CANONICAL
STD-00583,STD-15965,13,13,F043,output__fmcs_is_coverage.csv,,135,CANONICAL
STD-00586,STD-15997,2,2,F043,output__fmcs_is_coverage.csv,,136,CANONICAL
STD-00589,STD-16011,1,1,F043,output__fmcs_is_coverage.csv,,137,CANONICAL
STD-00591,STD-16014,1,1,F043,output__fmcs_is_coverage.csv,,138,CANONICAL
STD-00605,STD-16090,2,2,F043,output__fmcs_is_coverage.csv,,139,CANONICAL
STD-00606,STD-16098,1,1,F043,output__fmcs_is_coverage.csv,,140,CANONICAL
STD-00615,STD-16113,1,1,F043,output__fmcs_is_coverage.csv,,141,CANONICAL
STD-00616,STD-16127,1,1,F043,output__fmcs_is_coverage.csv,,142,CANONICAL
STD-00625,STD-16192,2,2,F043,output__fmcs_is_coverage.csv,,143,CANONICAL
STD-00625,STD-16192,3,3,F043,output__fmcs_is_coverage.csv,,144,CANONICAL
STD-00634,STD-16240,1,1,F043,output__fmcs_is_coverage.csv,,145,CANONICAL
STD-00647,STD-16353,2,2,F043,output__fmcs_is_coverage.csv,,146,CANONICAL
STD-00652,STD-16391,1,1,F043,output__fmcs_is_coverage.csv,,147,CANONICAL
STD-00656,STD-16415,1,1,F043,output__fmcs_is_coverage.csv,,148,CANONICAL
STD-00658,STD-16444,1,1,F043,output__fmcs_is_coverage.csv,,149,CANONICAL
STD-00669,STD-16585,3,3,F043,output__fmcs_is_coverage.csv,,150,CANONICAL
STD-00670,STD-1659,7,7,F043,output__fmcs_is_coverage.csv,,151,CANONICAL
STD-00671,STD-1660,3,3,F043,output__fmcs_is_coverage.csv,,152,CANONICAL
STD-00678,STD-16647,1,1,F043,output__fmcs_is_coverage.csv,,153,CANONICAL
STD-00715,STD-170,2,2,F043,output__fmcs_is_coverage.csv,,154,CANONICAL
STD-00715,STD-170,8,8,F043,output__fmcs_is_coverage.csv,,155,CANONICAL
STD-00726,STD-17043-P2,63,63,F043,output__fmcs_is_coverage.csv,,156,CANONICAL
STD-00728,STD-17048,1,1,F043,output__fmcs_is_coverage.csv,,157,CANONICAL
STD-00732,STD-17077-P1,6,6,F043,output__fmcs_is_coverage.csv,,158,CANONICAL
STD-00732,STD-17077-P1,15,16,F043,output__fmcs_is_coverage.csv,,159,CANONICAL
STD-00737,STD-17111,11,12,F043,output__fmcs_is_coverage.csv,,160,CANONICAL
STD-00737,STD-17111,4,4,F043,output__fmcs_is_coverage.csv,,161,CANONICAL
