canonical_entity,canonical_entity_id,source_sheet,source_row,source_scheme_record_ids,source_scheme_ids,scheme_label,source_table_caption,source_row_label,raw_is_number_variants,canonical_is_number,display_is_number,standard_year,title,product_name,ministry,notification_number,mandatory_voluntary,certification_type,source_record_id,source_url,retrieved_at,scraper_engine,extraction_method,record_status,missing_reason
STANDARD,STD-01756,,16,SCHII-0015,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,15,IS/IEC 62368: Part 1: 2023,STD-IEC-62368-P1,STD-IEC-62368-P1,2023,"Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements",Automatic Data Processing Machine,Ministry Of Electronics And Information Technology,NULL,MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,PARTIAL,NOT_EXPOSED_BY_SOURCE
STANDARD,STD-01756,,17,SCHII-0016,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,16,IS/IEC 62368: Part 1: 2023,STD-IEC-62368-P1,STD-IEC-62368-P1,2023,"Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements",Power Adaptors for IT Equipments,Ministry Of Electronics And Information Technology,"Electronics & Information Technology Goods (Requirements for Compulsory Registration) Order, 2012 dated 13th No. vember 2012; No. tification No. S.O. 2905(E) dated 07 No. vember 2014; No. tification No. S.O. 344(E) dated 30 No. vember 2015; S.O. 2578(E) dated 07 August 2015; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Amendments S.O. 1246(E) dated 10 March, 2026",MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,SUCCESS,NULL
STANDARD,STD-01756,,18,SCHII-0017,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,17,IS/IEC 62368: Part 1: 2023,STD-IEC-62368-P1,STD-IEC-62368-P1,2023,"Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Power Adaptors for Audio, Video & Similar Electronic Apparatus",Ministry Of Electronics And Information Technology,NULL,MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,PARTIAL,NOT_EXPOSED_BY_SOURCE
STANDARD,STD-00636,,19,SCHII-0018,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,18,IS 16242 (Part 1),STD-16242-P1,STD-16242-P1,NULL,General and Safety Requirements for UPS,UPS/Invertors of rating<=5kVA,Ministry Of Electronics And Information Technology,NULL,MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,PARTIAL,NOT_EXPOSED_BY_SOURCE
STANDARD,STD-00568,,20,SCHII-0019,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,19,IS 15885 (Part 2/Sec 13),STD-15885-P2,STD-15885-P2,NULL,Safety of Lamp Control gear Part 2 Particular Requirements Section 13 d.c. or a.c. Supplied Electronic Control gear for LED Modules,DC or AC Supplied Electronic Control gear for LED Modules,Ministry Of Electronics And Information Technology,NULL,MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,PARTIAL,NOT_EXPOSED_BY_SOURCE
STANDARD,STD-00593,,21,SCHII-0020,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,20,IS 16046,STD-16046,STD-16046,NULL,"Secondary Cells and Batteries containing Alkaline or other non-acid Electrolytes-Safety Requirements for Portable sealed secondary cells, and for Batteries made from them for use in portable applications",Sealed Secondary Cells/Batteries containing Alkaline or other non-acid Electrolytes for use in portable applications,Ministry Of Electronics And Information Technology,NULL,MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,PARTIAL,NOT_EXPOSED_BY_SOURCE
STANDARD,STD-00610,,22,SCHII-0021,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,21,IS 16102(Part 1),STD-16102-P1,STD-16102-P1,NULL,Self-Ballasted LED Lamps for General Lighting Services Part 1 Safety Requirements,Self-Ballasted LED Lamps for General Lighting Services,Ministry Of Electronics And Information Technology,NULL,MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,PARTIAL,NOT_EXPOSED_BY_SOURCE
STANDARD,STD-00050,,23,SCHII-0022,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,22,10322 (Part 5/Sec 1),STD-10322-P5,STD-10322-P5,NULL,Luminaries Part 5 Particular Requirements Sec 1 Fixed General purpose luminaries,Fixed General Purpose LED Luminaries,Ministry Of Electronics And Information Technology,NULL,MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,PARTIAL,NOT_EXPOSED_BY_SOURCE
STANDARD,STD-01756,,24,SCHII-0023,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,23,IS/IEC 62368: Part 1: 2023,STD-IEC-62368-P1,STD-IEC-62368-P1,2023,"Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements",Mobile Phones,Ministry Of Electronics And Information Technology,NULL,MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,PARTIAL,NOT_EXPOSED_BY_SOURCE
STANDARD,STD-01756,,25,SCHII-0024,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,24,IS/IEC 62368: Part 1: 2023,STD-IEC-62368-P1,STD-IEC-62368-P1,2023,"Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements",Cash Registers,Ministry Of Electronics And Information Technology,NULL,MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,PARTIAL,NOT_EXPOSED_BY_SOURCE
