canonical_entity,canonical_entity_id,source_sheet,source_row,source_scheme_record_ids,source_scheme_ids,scheme_label,source_row_label,raw_is_number_variants,canonical_is_number,display_is_number,standard_year,title,product_name,specific_requirement,ministry,notification_number,document_url,mandatory_voluntary,certification_type,source_record_id,source_url,retrieved_at,scraper_engine,extraction_method,record_status,missing_reason
STANDARD,STD-01092,,2,SCHIV-0001,scheme_iv,Scheme - IV ( Grant Of Certificate Of Conformity ),1.,IS 3024:2015,STD-3024,STD-3024,2015,NULL,Stampings/laminations/cores of transformers (with or without winding),Made from BIS standard marked Grain Oriented Electrical Steel Sheet and Strip conforming to IS 3024:2015 or Cold rolled non-oriented electrical steel sheet and strip conforming to IS 648:2006 or Magnetic materials specification for individual material Fe based amorphous strip delivered in the semi-processed state conforming to IS 16585 : 2016,"Steel and Steel Products (Quality Control) Order, 2020","S.O. 1673(E), dated 27-05-2020",https://www.bis.gov.in/wp-content/uploads/2020/07/Steel-QCO-2020-dated-27th-May-2020.pdf,MANDATORY,SCHEME_IV,scheme_iv,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,SUCCESS,NULL
STANDARD,STD-01435,,3,SCHIV-0002,scheme_iv,Scheme - IV ( Grant Of Certificate Of Conformity ),1.,IS 648:2006,STD-648,STD-648,2006,NULL,Stampings/laminations/cores of transformers (with or without winding),Made from BIS standard marked Grain Oriented Electrical Steel Sheet and Strip conforming to IS 3024:2015 or Cold rolled non-oriented electrical steel sheet and strip conforming to IS 648:2006 or Magnetic materials specification for individual material Fe based amorphous strip delivered in the semi-processed state conforming to IS 16585 : 2016,"Steel and Steel Products (Quality Control) Order, 2020","S.O. 1673(E), dated 27-05-2020",https://www.bis.gov.in/wp-content/uploads/2020/07/Steel-QCO-2020-dated-27th-May-2020.pdf,MANDATORY,SCHEME_IV,scheme_iv,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,SUCCESS,NULL
STANDARD,STD-00669,,4,SCHIV-0003,scheme_iv,Scheme - IV ( Grant Of Certificate Of Conformity ),1.,IS 16585 : 2016,STD-16585,STD-16585,2016,NULL,Stampings/laminations/cores of transformers (with or without winding),Made from BIS standard marked Grain Oriented Electrical Steel Sheet and Strip conforming to IS 3024:2015 or Cold rolled non-oriented electrical steel sheet and strip conforming to IS 648:2006 or Magnetic materials specification for individual material Fe based amorphous strip delivered in the semi-processed state conforming to IS 16585 : 2016,"Steel and Steel Products (Quality Control) Order, 2020","S.O. 1673(E), dated 27-05-2020",https://www.bis.gov.in/wp-content/uploads/2020/07/Steel-QCO-2020-dated-27th-May-2020.pdf,MANDATORY,SCHEME_IV,scheme_iv,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,SUCCESS,NULL
STANDARD,STD-00066,,5,SCHIV-0004,scheme_iv,Scheme - IV ( Grant Of Certificate Of Conformity ),2.,IS 10613: 2023,STD-10613,STD-10613,2023,NULL,Requirement of Retro-Reflective Devices for Bicycles,Clause 4.2.2 of IS 10613: 2023,"Bicycles- Retro Reflective Devices (Quality Control) Order, 2020","S.O. 2290(E) dated 07/07/2020; Bicycles- Retro Reflective Devices (Quality Control) Order, 2021 (S.O. 2028(E) dated 25.05.2021); Bicycles- Retro Reflective Devices (Quality Control) Amendment Order, 2021 (S.O. 5400(E), dated 24/12/2021); Bicycles- Retro-Reflective Devices (Quality Control) Order, 2023 (S.O. 882(E), dated 23 February 2023); Corrigendum for Bicycles Retro-Reflective Devices (Quality Control) Amendment Order, 2023 (S.O. 1441(E), dated 27 March 2023)",https://www.bis.gov.in/wp-content/uploads/2020/07/QCO-CoC-Bycycle-DPIIT.pdf,MANDATORY,SCHEME_IV,scheme_iv,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,SUCCESS,NULL
STANDARD,STD-01092,,6,SCHIV-0005,scheme_iv,Scheme - IV ( Grant Of Certificate Of Conformity ),1.,IS 3024:2015,STD-3024,STD-3024,2015,NULL,Stampings/laminations/cores of transformers (with or without winding),Made from BIS standard marked Grain Oriented Electrical Steel Sheet and Strip conforming to IS 3024:2015 or Cold rolled non-oriented electrical steel sheet and strip conforming to IS 648:2006 or Magnetic materials specification for individual material Fe based amorphous strip delivered in the semi-processed state conforming to IS 16585 : 2016,"Steel and Steel Products (Quality Control) Order, 2020","S.O. 1673(E), dated 27-05-2020",https://www.bis.gov.in/wp-content/uploads/2020/07/Steel-QCO-2020-dated-27th-May-2020.pdf,MANDATORY,SCHEME_IV,scheme_iv,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,DUPLICATE,NOT_APPLICABLE
STANDARD,STD-00066,,7,SCHIV-0006,scheme_iv,Scheme - IV ( Grant Of Certificate Of Conformity ),2.,IS 10613: 2014,STD-10613,STD-10613,2014,NULL,Requirement of Retro-Reflective Devices for Bicycles,Clause 4.14 of IS 10613: 2014,"Bicycles- Retro Reflective Devices (Quality Control) Order, 2020",S.O. 2290(E) dated 07/07/2020,https://www.bis.gov.in/wp-content/uploads/2020/07/QCO-CoC-Bycycle-DPIIT.pdf,MANDATORY,SCHEME_IV,scheme_iv,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,SUCCESS,NULL
