relationship_id,qco_id,qco_number,product_id,product_name,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-QCO_PR-0000022,QCO-00090,Toys (Quality Control) Order,PROD-00203,Safety of Electric Toys,COVERED_BY,related_qco_text,related_qco_text,Toys (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,23,1.00,
REL-QCO_PR-0000023,QCO-00026,Flat Glass (Quality Control) Order,PROD-00102,Flat Transparent Sheet Glass,COVERED_BY,related_qco_text,related_qco_text,Flat Glass (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,24,1.00,
REL-QCO_PR-0000024,QCO-00078,Safety Glass (Quality Control) Order,PROD-00194,"Safety Glass (Part 1 - Architectural, Building & General)",COVERED_BY,related_qco_text,related_qco_text,Safety Glass (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,25,1.00,
REL-QCO_PR-0000025,QCO-00078,Safety Glass (Quality Control) Order,PROD-00195,Safety Glass (Part 2 - For Road Transport),COVERED_BY,related_qco_text,related_qco_text,Safety Glass (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,26,1.00,
REL-QCO_PR-0000026,QCO-00063,Rubber Hoses (Quality Control) Order,PROD-00184,Rubber Hoses for Fuel Dispensing (Part 1),COVERED_BY,related_qco_text,related_qco_text,Rubber Hoses (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,27,1.00,
REL-QCO_PR-0000027,QCO-00063,Rubber Hoses (Quality Control) Order,PROD-00185,Rubber Hoses for Fuel Dispensing (Part 2),COVERED_BY,related_qco_text,related_qco_text,Rubber Hoses (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,28,1.00,
REL-QCO_PR-0000028,QCO-00010,Chemical / Medical Disinfectant Mandates,PROD-00011,Alcohol Based Hand Sanitizers,COVERED_BY,related_qco_text,related_qco_text,Chemical / Medical Disinfectant Mandates,,F011,BIS_Products_Details.xlsx,Products_Details,29,1.00,
REL-QCO_PR-0000029,QCO-00082,Stainless Steel Pipes & Tubes (QCO),PROD-00231,Seamless Stainless Steel Pipes and Tubes,COVERED_BY,related_qco_text,related_qco_text,Stainless Steel Pipes & Tubes (QCO),,F011,BIS_Products_Details.xlsx,Products_Details,30,1.00,
REL-QCO_PR-0000030,QCO-00082,Stainless Steel Pipes & Tubes (QCO),PROD-00303,Welded Stainless Steel Pipes and Tubes,COVERED_BY,related_qco_text,related_qco_text,Stainless Steel Pipes & Tubes (QCO),,F011,BIS_Products_Details.xlsx,Products_Details,31,1.00,
REL-QCO_PR-0000031,QCO-00049,Lubricating Greases (QCO),PROD-00122,Lithium Base Grease,COVERED_BY,related_qco_text,related_qco_text,Lubricating Greases (QCO),,F011,BIS_Products_Details.xlsx,Products_Details,32,1.00,
REL-QCO_PR-0000032,QCO-00021,Electrical Appliances (Safety) QCO,PROD-00205,Safety of Household and Similar Electrical Appliances (Part 1),COVERED_BY,related_qco_text,related_qco_text,Electrical Appliances (Safety) QCO,,F011,BIS_Products_Details.xlsx,Products_Details,33,1.00,
REL-QCO_PR-0000033,QCO-00034,Footwear made from Leather and other Materials (QCO),PROD-00250,Sports Footwear (Part 1 - General Purpose),COVERED_BY,related_qco_text,related_qco_text,Footwear made from Leather and other Materials (QCO),,F011,BIS_Products_Details.xlsx,Products_Details,34,1.00,
REL-QCO_PR-0000034,QCO-00034,Footwear made from Leather and other Materials (QCO),PROD-00251,Sports Footwear (Part 2 - Performance Shoes),COVERED_BY,related_qco_text,related_qco_text,Footwear made from Leather and other Materials (QCO),,F011,BIS_Products_Details.xlsx,Products_Details,35,1.00,
REL-QCO_PR-0000035,QCO-00034,Footwear made from Leather and other Materials (QCO),PROD-00252,Sports Footwear (Part 3 - Professional & Outdoor),COVERED_BY,related_qco_text,related_qco_text,Footwear made from Leather and other Materials (QCO),,F011,BIS_Products_Details.xlsx,Products_Details,36,1.00,
REL-QCO_PR-0000036,QCO-00034,Footwear made from Leather and other Materials (QCO),PROD-00078,Derby Shoes,COVERED_BY,related_qco_text,related_qco_text,Footwear made from Leather and other Materials (QCO),,F011,BIS_Products_Details.xlsx,Products_Details,37,1.00,
REL-QCO_PR-0000037,QCO-00034,Footwear made from Leather and other Materials (QCO),PROD-00059,Casual Footwear,COVERED_BY,related_qco_text,related_qco_text,Footwear made from Leather and other Materials (QCO),,F011,BIS_Products_Details.xlsx,Products_Details,38,1.00,
REL-QCO_PR-0000038,QCO-00034,Footwear made from Leather and other Materials (QCO),PROD-00237,Shoes (Part 1 - General Requirements),COVERED_BY,related_qco_text,related_qco_text,Footwear made from Leather and other Materials (QCO),,F011,BIS_Products_Details.xlsx,Products_Details,39,1.00,
